sample_id,temperature_c,replicate,aw_nominal,aw_measured,moisture_dry_basis_g_g,moisture_wet_basis_percent
1,25,1,0.113,0.115,0.0596,5.62
2,25,2,0.113,0.1156,0.0656,6.16
3,25,3,0.113,0.1121,0.0593,5.6
4,25,1,0.225,0.2313,0.0855,7.88
5,25,2,0.225,0.2231,0.0846,7.8
6,25,3,0.225,0.2231,0.0807,7.47
7,25,1,0.328,0.329,0.0914,8.37
8,25,2,0.328,0.3211,0.0973,8.87
9,25,3,0.328,0.3239,0.1011,9.18
10,25,1,0.432,0.4284,0.1115,10.03
11,25,2,0.432,0.4379,0.1174,10.51
12,25,3,0.432,0.4323,0.1114,10.02
13,25,1,0.529,0.5268,0.1404,12.31
14,25,2,0.529,0.5244,0.1419,12.43
15,25,3,0.529,0.5266,0.1381,12.13
16,25,1,0.645,0.6426,0.1864,15.71
17,25,2,0.645,0.6449,0.1666,14.28
18,25,3,0.645,0.6483,0.1654,14.19
19,25,1,0.753,0.7538,0.2053,17.03
20,25,2,0.753,0.7477,0.2227,18.21
21,25,3,0.753,0.756,0.2225,18.2
22,25,1,0.843,0.8425,0.2805,21.91
23,25,2,0.843,0.8371,0.2766,21.67
24,25,3,0.843,0.8412,0.2929,22.65
25,25,1,0.902,0.9034,0.3281,24.7
26,25,2,0.902,0.9033,0.3419,25.48
27,25,3,0.902,0.8993,0.3519,26.03
28,35,1,0.113,0.1171,0.0516,4.91
29,35,2,0.113,0.1096,0.0472,4.51
30,35,3,0.113,0.1143,0.0518,4.92
31,35,1,0.225,0.2231,0.0685,6.41
32,35,2,0.225,0.2206,0.0645,6.06
33,35,3,0.225,0.2283,0.0745,6.93
34,35,1,0.328,0.3277,0.0893,8.2
35,35,2,0.328,0.3294,0.0821,7.59
36,35,3,0.328,0.3294,0.0917,8.4
37,35,1,0.432,0.4319,0.1094,9.86
38,35,2,0.432,0.4215,0.1057,9.56
39,35,3,0.432,0.4323,0.1001,9.1
40,35,1,0.529,0.5294,0.1083,9.77
41,35,2,0.529,0.5281,0.1217,10.85
42,35,3,0.529,0.5349,0.1167,10.45
43,35,1,0.645,0.6418,0.1444,12.62
44,35,2,0.645,0.6487,0.1501,13.05
45,35,3,0.645,0.6429,0.1513,13.14
46,35,1,0.753,0.7534,0.1931,16.18
47,35,2,0.753,0.7502,0.1827,15.45
48,35,3,0.753,0.7514,0.1736,14.79
49,35,1,0.843,0.8442,0.2348,19.02
50,35,2,0.843,0.843,0.2302,18.71
51,35,3,0.843,0.8373,0.2285,18.6
52,35,1,0.902,0.9006,0.2693,21.22
53,35,2,0.902,0.9014,0.2814,21.96
54,35,3,0.902,0.9095,0.2791,21.82
55,45,1,0.113,0.114,0.0364,3.51
56,45,2,0.113,0.1053,0.0366,3.53
57,45,3,0.113,0.1132,0.0456,4.36
58,45,1,0.225,0.2242,0.0565,5.35
59,45,2,0.225,0.2249,0.0508,4.83
60,45,3,0.225,0.2296,0.0583,5.51
61,45,1,0.328,0.3312,0.0654,6.14
62,45,2,0.328,0.3336,0.0633,5.95
63,45,3,0.328,0.3303,0.0789,7.31
64,45,1,0.432,0.428,0.0809,7.48
65,45,2,0.432,0.4324,0.0812,7.51
66,45,3,0.432,0.4258,0.0841,7.76
67,45,1,0.529,0.5248,0.1016,9.22
68,45,2,0.529,0.5253,0.1078,9.73
69,45,3,0.529,0.5259,0.0971,8.85
70,45,1,0.645,0.6483,0.1133,10.18
71,45,2,0.645,0.6459,0.1306,11.55
72,45,3,0.645,0.6386,0.1229,10.94
73,45,1,0.753,0.754,0.1572,13.58
74,45,2,0.753,0.7481,0.1403,12.3
75,45,3,0.753,0.7551,0.1533,13.29
76,45,1,0.843,0.844,0.1891,15.9
77,45,2,0.843,0.8403,0.1881,15.83
78,45,3,0.843,0.8442,0.1794,15.21
79,45,1,0.902,0.9095,0.2228,18.22
80,45,2,0.902,0.8972,0.2246,18.34
81,45,3,0.902,0.8981,0.2259,18.43
